Year,Total,Positive,Negative
1912,1558,52.18,47.82
1913,994,51.21,48.79
1914,841,47.08,52.2
1918,245,42.13,57.87
1928,819,45.3,54.7
1929,742,42.18,57.82
1948,1147,50.04,49.96
1960,435,36.32,63.68
1980,756,41.27,58.73
2015,926,34.67,65.33
