Year,Total,Positive,Negative
1866,654,52.91,47.09
1867,612,53.43,46.57
1868,631,53.1,46.9
1869,213,48.83,51.17
1894,527,48,52
1895,403,54.59,45.41
1919,1159,34.94,65.06
1920,1022,36.2,63.8
1967,763,31.85,68.15
1968,1000,31.2,68.8
1970,1421,28.92,71.08
2015,1478,28.75,71.25
